dataset_group,fold,evaluation,dataset,classifier,Macro_F1,Accuracy,Precision_macro,Recall_macro,ROC_AUC,inner_fold
covid,1,synthetic_only_internal_cv,Fixed_Balanced_low_sep0.25_anchor0.25,XGBoost,0.5209934949733885,0.7222222222222222,0.5775510204081633,0.5339285714285714,0.5946428571428571,2.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_low_sep0.25_anchor0.25,CatBoost,0.4745538664904164,0.7169811320754716,0.5025510204081632,0.5009615384615385,0.5442307692307693,3.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_low_sep0.25_anchor0.25,XGBoost,0.5280251440544788,0.6792452830188679,0.5337209302325582,0.5278846153846154,0.5653846153846154,3.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_low_sep0.25_anchor0.25,CatBoost,0.5190562613430127,0.7169811320754716,0.549645390070922,0.5269230769230769,0.6826923076923077,4.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_low_sep0.25_anchor0.25,XGBoost,0.5546218487394958,0.7169811320754716,0.5763888888888888,0.5528846153846154,0.6673076923076924,4.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_low_sep0.25_anchor0.25,CatBoost,0.5831820931639443,0.7547169811320755,0.6436170212765957,0.5778846153846154,0.6576923076923077,5.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_low_sep0.25_anchor0.25,XGBoost,0.49523809523809526,0.6792452830188679,0.5027777777777778,0.5019230769230769,0.6326923076923077,5.0
covid,1,train_synthetic_test_real_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,CatBoost,0.47507122507122507,0.6716417910447762,0.4771929824561404,0.4840686274509804,0.5575980392156863,
covid,1,train_synthetic_test_real_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,XGBoost,0.5485175202156334,0.7014925373134329,0.5575757575757576,0.5465686274509804,0.5906862745098039,
covid,1,synthetic_only_internal_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,CatBoost,0.6096385542168674,0.7222222222222222,0.6226215644820295,0.6035714285714285,0.7446428571428572,1.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,XGBoost,0.5521606285464863,0.6481481481481481,0.5512820512820513,0.5535714285714286,0.6857142857142856,1.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,CatBoost,0.5566502463054187,0.7222222222222222,0.5972644376899696,0.5571428571428572,0.6392857142857143,2.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,XGBoost,0.625,0.7407407407407407,0.6477272727272727,0.6160714285714286,0.6919642857142858,2.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,CatBoost,0.647307924984876,0.7924528301886793,0.7375886524822695,0.6288461538461538,0.8461538461538461,3.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,XGBoost,0.5835515976951283,0.7169811320754716,0.5953488372093023,0.5788461538461538,0.7365384615384616,3.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,CatBoost,0.6558441558441558,0.7735849056603774,0.6868686868686869,0.6423076923076924,0.7115384615384617,4.0
covid,1,synthetic_only_internal_cv,Fixed_Balanced_medium_sep0.5_anchor0.25,XGBoost,0.48376623376623373,0.660377358490566,0.4861111111111111,0.4894230769230769,0.5903846153846154,4.0
